学号 课程ID1 分数1 GPA1 课程ID2 分数2 GPA2 课程ID3 分数3 GPA3
10000000001 1001 89 A- 1002 85 A- 1003 85 A-
10000000002 1001 70 C 1002 60 D 1003 71 C+
10000000003 1001 90 A- 1002 80 B 1003 79 B+
10000000004 1001 60 D 1002 60 D 1003 59 F
10000000005 1001 61 D 1002 40 F 1003 66 C-
10000000006 1001 89 A- 1002 89 A 1003 86 A
10000000007 1001 98 A 1002 97 A 1003 90 A
10000000008 1001 50 F 1002 41 F 1003 39 F
10000000009 1001 100 A 1002 100 A 1003 100 A
10000000010 1001 100 A 1002 100 A 1003 100 A
10000000011 1001 100 A 1002 100 A 1003 100 A
10000000012 1001 100 A 1002 100 A 1003 100 A
10000000013 1001 100 A 1002 100 A 1003 100 A
10000000014 1001 100 A 1002 100 A 1003 100 A
10000000015 1001 100 A 1002 100 A 1003 100 A
10000000016 1001 100 A 1002 100 A 1003 100 A
10000000017 1001 100 A 1002 100 A 1003 100 A
10000000018 1001 100 A 1002 100 A 1003 100 A
10000000019 1001 100 A 1002 100 A 1003 100 A
10000000020 1001 100 A 1002 100 A 1003 100 A
